Time,#Frame,ConvergenceValid,Convergence_distance,Left_Eye_Openness,Right_Eye_Openness,Left_Eye_Closed,Right_Eye_Closed,LeftPupilDiameter,RightPupilDiameter,LeftPupilPosInSensorX,LeftPupilPosInSensorY,RightPupilPosInSensorX,RightPupilPosInSensorY,LocalGazeValid,GazeOriginLclSpc_X,GazeOriginLclSpc_Y,GazeOriginLclSpc_Z,GazeDirectionLclSpc_X,GazeDirectionLclSpc_Y,GazeDirectionLclSpc_Z,WorldGazeValid,GazeOriginWrldSpc_X,GazeOriginWrldSpc_Y,GazeOriginWrldSpc_Z,GazeDirectionWrldSpc_X,GazeDirectionWrldSpc_Y,GazeDirectionWrldSpc_Z,NrmLeftEyeOriginX,NrmLeftEyeOriginY,NrmLeftEyeOriginZ,NrmRightEyeOriginX,NrmRightEyeOriginY,NrmRightEyeOriginZ,NrmSRLeftEyeGazeDirX,NrmSRLeftEyeGazeDirY,NrmSRLeftEyeGazeDirZ,NrmSRRightEyeGazeDirX,NrmSRRightEyeGazeDirY,NrmSRRightEyeGazeDirZ,
03-43-07-380, 173, True, 9.211579, 1, 1, False, False, 2.814499, 2.854065, 0.4990552, 0.5994948, 0.514544, 0.590922, True, 0.0246221, 0.004542374, -0.04507868, 0.02505493,-0.1367645, 0.9902802, True, 1248.47, -0.05153995, 1133.502, 0.1870518,-0.1440082, -1.986006, 32.93005, 4.628555, -45.25491, -31.38583, 3.961349, -43.89058, -0.0259552, -0.1367645,0.9902496, -0.01896667, -0.136734, 0.9904175
03-43-07-661, 187, True, 2.737976, 1, 1, False, False, 2.910355, 2.826172, 0.5022651, 0.6084363, 0.5163928, 0.5992545, True, 0.02887985, 0.004221009, -0.04470288, 0.02871704,-0.1346588, 0.9904633, True, 1248.466, -0.05917384, 1133.496, 0.1755929,-0.2038971, -1.981791, 32.86627, 4.240723, -44.70921, -31.37718, 3.923126, -44.60706, -0.02867126, -0.1348877,0.9904327, -0.02923584, -0.1312561, 0.9909058
03-43-07-918, 199, True, 0.7855653, 1, 1, False, False, 2.930954, 2.957138, 0.5111129, 0.5748209, 0.5169122, 0.5665923, True, -0.02252921, 0.0044599, -0.04461336, 0.04544067,-0.06108093, 0.9970856, True, 1248.573, -0.06499091, 1133.494, 0.1332283,-0.1737976, -1.98795, 32.71982, 4.91893, -45.12727, -31.3663, 4.433502, -44.50653, -0.05174255, -0.06008911,0.9968414, -0.03330994, -0.06086731, 0.9975891
03-43-08-170, 219, True, 3.865906, 1, 1, False, False, 2.981033, 2.946701, 0.5098092, 0.5805983, 0.5214237, 0.5729289, True, -0.02794039, 0.004330124, -0.04452097, 0.03884888,-0.06903076, 0.9968567, True, 1248.584, -0.06198397, 1133.498, 0.1534641,-0.1555678, -1.988024, 32.76845, 4.725616, -44.83481, -31.46384, 4.307175, -44.50275, -0.05451965, -0.068573,0.9961548, -0.03794861, -0.06906128, 0.9968872
03-43-08-436, 233, True, 2.889677, 1, 1, False, False, 3.092148, 2.96463, 0.5306577, 0.5658917, 0.5343461, 0.5584002, True, -0.03112778, 0.004380173, -0.04397405, 0.07292175,-0.02850342, 0.9969177, True, 1248.589, -0.05580991, 1133.509, 0.08302635,0.008714817, -1.998232, 32.37613, 5.105103, -45.37569, -31.66228, 4.374069, -43.96225, -0.09449768, -0.0308075,0.9950409, -0.07273865, -0.0284729, 0.996933
03-43-08-694, 245, True, 1.220079, 1, 1, False, False, 3.056534, 3.109818, 0.5249931, 0.5808779, 0.5404161, 0.5717544, True, -0.03088436, 0.004276672, -0.04409586, 0.0920105,-0.07585144, 0.9928589, True, 1248.583, -0.05008817, 1133.518, 0.03577669,-0.006253609, -1.999658, 32.5108, 4.909119, -45.28563, -31.73546, 4.268188, -44.07988, -0.09060669, -0.08447266,0.9922943, -0.09202576, -0.07572937, 0.9928589
03-43-08-958, 266, False, 1.326311, 0, 0, True, True, -1, -1, -1, -1, -1, -1, False, 0, 0, 0, 0,0, 1, False, 0, 0, 0, 0,0, 1, 32.522, 4.811523, -45.29756, -31.70432, 3.754166, -44.24323, 0, 0,0, 0, 0, 0
03-43-09-237, 280, True, 4.960512, 1, 1, False, False, 3.385071, 3.36525, 0.492617, 0.5993968, 0.5136294, 0.5923765, True, -0.03087637, 0.004039154, -0.04409172, 0.0138855,-0.1475677, 0.9889526, True, 1248.551, -0.05366936, 1133.42, 0.1415256,-0.3588595, -1.962441, 33.08179, 4.518066, -44.72302, -31.36761, 4.035477, -44.08687, -0.02389526, -0.1421967,0.9895477, -0.0138092, -0.1476135, 0.9889374
03-43-09-495, 292, True, 0.4036097, 0.7633244, 0.9107721, False, False, 3.371429, 3.266479, 0.4915195, 0.5872408, 0.5082809, 0.5792823, True, -0.02798401, 0.004071411, -0.04423735, 0.005218506,-0.08154297, 0.9966431, True, 1248.54, -0.05257723, 1133.351, 0.1492524,-0.3422228, -1.964816, 33.08682, 4.613327, -44.95952, -31.28714, 4.247925, -44.60941, -0.01913452, -0.07202148,0.9972076, 0.00289917, -0.08599854, 0.9962769
03-43-09-753, 312, True, 1.807356, 0.634081, 0.8536456, False, False, 3.096451, 3.153503, 0.4844621, 0.6120766, 0.4942463, 0.5998787, True, -0.0310371, 0.004201386, -0.04453461, -0.04574585,-0.206192, 0.9774323, True, 1248.552, -0.03798154, 1133.334, 0.1847583,-0.3863191, -1.953599, 33.1651, 4.332718, -44.40646, -31.11287, 4.201233, -44.53476, 0.01184082, -0.199173,0.9798889, 0.04579163, -0.206192, 0.9774323
03-43-10-026, 326, False, 0.1577327, 0, 0.3890528, True, False, -1, 2.747818, 0.5273361, 0.592743, 0.5265663, 0.6140577, True, -0.03173734, 0.003943436, -0.04537329, 0.0001220703,-0.1742249, 0.9846954, True, 1248.57, -0.05018662, 1133.321, 0.1357894,0.002090789, -1.995363, 31.48778, 18.11607, -90.5831, -31.73734, 3.943436, -45.37329, 0, 0,0, -0.0001220703, -0.1742249, 0.9846954
03-43-10-293, 338, False, 0.1577327, 1, 1, False, False, -1, -1, 0.4941819, 0.819586, 0.459296, 0.7794632, False, 0, 0, 0, 0,0, 1, False, 0, 0, 0, 0,0, 1, 31.48778, 18.11607, -90.5831, -31.73734, 3.943436, -45.37329, 0, 0,0, 0, 0, 0
03-43-10-543, 358, False, 0.1577327, 0, 0, True, True, -1, -1, 0.4091074, 0.7873082, 0.4055694, 0.7795898, False, 0, 0, 0, 0,0, 1, False, 0, 0, 0, 0,0, 1, 31.48778, 18.11607, -90.5831, -31.73734, 3.943436, -45.37329, 0, 0,0, 0, 0, 0
03-43-10-803, 372, False, 0.1577327, 0, 0, True, True, -1, -1, 0.3480903, 0.8805171, 0.3430845, 0.87942, False, 0, 0, 0, 0,0, 1, False, 0, 0, 0, 0,0, 1, 31.48778, 18.11607, -90.5831, -31.73734, 3.943436, -45.37329, 0, 0,0, 0, 0, 0
03-43-11-069, 384, False, 0.1577327, 0, 0, True, True, -1, -1, 0.4464212, 0.6468723, 0.4556946, 0.670317, False, 0, 0, 0, 0,0, 1, False, 0, 0, 0, 0,0, 1, 31.48778, 18.11607, -90.5831, -31.73734, 3.943436, -45.37329, 0, 0,0, 0, 0, 0
03-43-11-326, 404, True, 0.163046, 1, 1, False, False, 4.198517, 2.517365, 0.4898143, 0.5142097, 0.5062391, 0.5063365, True, 0.03272965, 0.005654816, -0.04325943, -0.08726501,0.03945923, 0.9953918, True, 1248.426, -0.06299883, 1133.26, -0.02200667,0.3498495, -1.969018, 32.72964, 5.654816, -43.25943, -30.53072, 16.63443, -85.85754, 0.08726501, 0.03945923,0.9953918, 0.04194641, -0.1193542, 0.9919586
